1629,National Conference of the American Association for Artificial Intelligence,AAAI,CORE2023,A*,Yes,4602,4603,4611
922,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,CORE2023,A*,Yes,4602,,
196,Association for Computational Linguistics,ACL,CORE2023,A*,Yes,4602,,
37,ACM Multimedia,ACMMM,CORE2023,A*,Yes,4603,,
279,Automated Software Engineering Conference,ASE,CORE2023,A*,Yes,4612,,
147,Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2023,A*,Yes,4612,4606,
331,Computer Aided Verification,CAV,CORE2023,A*,Yes,4612,,
12,ACM Conference on Computer and Communications Security,CCS,CORE2023,A*,Yes,4604,,
1053,International Conference on Human Factors in Computing Systems,CHI,CORE2023,A*,Yes,4608,,
124,Conference on Learning Theory,COLT,CORE2023,A*,Yes,4611,4602,
94,Advances in Cryptology,CRYPTO,CORE2023,A*,Yes,4604,,
604,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2023,A*,Yes,4603,,
14,ACM Conference on Economics and Computation,EC,CORE2023,A*,Yes,4602,4613,
479,European Conference on Computer Vision,ECCV,CORE2023,A*,Yes,4603,,
448,Empirical Methods in Natural Language Processing,EMNLP,CORE2023,A*,Yes,4602,,
52,"European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (duplicate was listed as ESEC, removed from DB)",ESEC/FSE,CORE2023,A*,Yes,4612,,
1242,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,CORE2023,A*,Yes,4604,,
745,IEEE Symposium on Foundations of Computer Science,FOCS,CORE2023,A*,Yes,4613,,
1386,International Symposium on High Performance Computer Architecture,HPCA,CORE2023,A*,Yes,4606,,
919,International Conference on Automated Planning and Scheduling,ICAPS,CORE2023,A*,Yes,4602,,
638,IEEE International Conference on Computer Vision,ICCV,CORE2023,A*,Yes,4603,,
986,International Conference on Data Engineering,ICDE,CORE2023,A*,Yes,4605,,
642,IEEE International Conference on Data Mining,ICDM,CORE2023,A*,Yes,4605,4611,
2273,International Conference on Learning Representations,ICLR,CORE2023,A*,Yes,4611,,
1121,International Conference on Machine Learning,ICML,CORE2023,A*,Yes,4611,,
2051,IEEE International Conference on Robotics and Automation,ICRA,CORE2023,A*,Yes,4602,,
1209,International Conference on Software Engineering,ICSE,CORE2023,A*,Yes,4612,,
1313,International Joint Conference on Artificial Intelligence,IJCAI,CORE2023,A*,Yes,4602,4611,4603
2074,IEEE International Conference on Computer Communications,INFOCOM,CORE2023,A*,Yes,4606,,
823,Information Processing in Sensor Networks,IPSN,CORE2023,A*,Yes,4606,,
32,ACM International Symposium on Computer Architecture,ISCA,CORE2023,A*,Yes,4612,,
785,IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,CORE2023,A*,Yes,4607,,
26,ACM International Conference on Knowledge Discovery and Data Mining,KDD,CORE2023,A*,Yes,4605,4611,
1239,International Conference on the Principles of Knowledge Representation and Reasoning,KR,CORE2023,A*,Yes,4602,4613,
748,IEEE Symposium on Logic in Computer Science,LICS,CORE2023,A*,Yes,4613,,
27,ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2023,A*,Yes,4606,,
1840,Usenix Network and Distributed System Security Symposium,NDSS,CORE2023,A*,Yes,4604,,
98,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,CORE2023,A*,Yes,4611,,
1842,Usenix Symposium on Operating Systems Design and Implementation,OSDI,CORE2023,A*,Yes,4606,,
669,IEEE International Conference on Pervasive Computing and Communications,PERCOM,CORE2023,A*,Yes,4608,4606,
84,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,CORE2023,A*,Yes,4612,,
63,ACM Symposium on Principles of Distributed Computing,PODC,CORE2023,A*,Yes,4606,,
46,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,CORE2023,A*,Yes,4605,,
82,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2023,A*,Yes,4612,,
1701,Real Time Systems Symposium,RTSS,CORE2023,A*,Yes,4606,,
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2023,A*,Yes,4606,,
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2023,A*,Yes,4606,,
38,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,CORE2023,A*,Yes,4607,,
29,ACM International Conference on Research and Development in Information Retrieval,SIGIR,CORE2023,A*,Yes,4605,,
39,Measurement and Modeling of Computer Systems,SIGMETRICS,CORE2023,A*,Yes,4612,,
56,ACM Special Interest Group on Management of Data Conference,SIGMOD,CORE2023,A*,Yes,4605,,
80,ACM/SIAM Symposium on Discrete Algorithms,SODA,CORE2023,A*,Yes,4613,,
48,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,CORE2023,A*,Yes,4606,,
750,IEEE Symposium on Security and Privacy,SP,CORE2023,A*,Yes,4604,,
65,ACM Symposium on Theory of Computing,STOC,CORE2023,A*,Yes,4613,,
66,ACM Symposium on User Interface Software and Technology,UIST,CORE2023,A*,Yes,4608,,
1841,Usenix Security Symposium,USENIX-Security,CORE2023,A*,Yes,4604,,
1261,International Conference on Very Large Databases,VLDB,CORE2023,A*,Yes,4605,,
758,IEEE Conference on Virtual Reality and 3D User Interfaces,VR,CORE2023,A*,Yes,4607,,
1548,International World Wide Web Conference,WWW,CORE2023,A*,Yes,4606,4605,
